# x_m,y_m,w_tr_right_m,w_tr_left_m
-3.4600,-11.6000,0.8382,0.8382
-3.4600,-11.5500,0.8246,0.8246
-3.4600,-11.5000,0.8139,0.8139
-3.4600,-11.4500,0.8062,0.8062
-3.4600,-11.4000,0.8016,0.8016
-3.4600,-11.3500,0.8000,0.8000
-3.4600,-11.3000,0.8000,0.8000
-3.4600,-11.2500,0.8000,0.8000
-3.4600,-11.2000,0.8000,0.8000
-3.4600,-11.1500,0.8000,0.8000
-3.4600,-11.1000,0.8000,0.8000
-3.4600,-11.0500,0.8000,0.8000
-3.4600,-11.0000,0.8000,0.8000
-3.4100,-10.9500,0.8016,0.8016
-3.4100,-10.9000,0.8000,0.8000
-3.4100,-10.8500,0.8000,0.8000
-3.4100,-10.8000,0.8000,0.8000
-3.4100,-10.7500,0.8000,0.8000
-3.4100,-10.7000,0.8000,0.8000
-3.4100,-10.6500,0.8000,0.8000
-3.4100,-10.6000,0.8000,0.8000
-3.4100,-10.5500,0.8000,0.8000
-3.4100,-10.5000,0.8000,0.8000
-3.4100,-10.4500,0.8000,0.8000
-3.4100,-10.4000,0.8000,0.8000
-3.4100,-10.3500,0.8000,0.8000
-3.4100,-10.3000,0.7906,0.7906
-3.4100,-10.2500,0.7762,0.7762
-3.4100,-10.2000,0.7649,0.7649
-3.4100,-10.1500,0.7566,0.7566
-3.4100,-10.1000,0.7517,0.7517
-3.4100,-10.0500,0.7500,0.7500
-3.3600,-10.0000,0.8000,0.8000
-3.3600,-9.9500,0.8000,0.8000
-3.3600,-9.9000,0.8000,0.8000
-3.3600,-9.8500,0.8000,0.8000
-3.3600,-9.8000,0.8000,0.8000
-3.3600,-9.7500,0.8000,0.8000
-3.3600,-9.7000,0.8000,0.8000
-3.3600,-9.6500,0.8000,0.8000
-3.3600,-9.6000,0.8000,0.8000
-3.3600,-9.5500,0.8000,0.8000
-3.3600,-9.5000,0.8000,0.8000
-3.3600,-9.4500,0.8000,0.8000
-3.3600,-9.4000,0.8000,0.8000
-3.3600,-9.3500,0.7906,0.7906
-3.3600,-9.3000,0.7762,0.7762
-3.3600,-9.2500,0.7649,0.7649
-3.3100,-9.2000,0.8000,0.8000
-3.3100,-9.1500,0.8000,0.8000
-3.3100,-9.1000,0.8000,0.8000
-3.3100,-9.0500,0.8000,0.8000
-3.3100,-9.0000,0.8000,0.8000
-3.3100,-8.9500,0.8000,0.8000
-3.3100,-8.9000,0.8000,0.8000
-3.3100,-8.8500,0.8000,0.8000
-3.3100,-8.8000,0.8000,0.8000
-3.3100,-8.7500,0.8000,0.8000
-3.3100,-8.7000,0.8000,0.8000
-3.3100,-8.6500,0.8000,0.8000
-3.3100,-8.6000,0.8000,0.8000
-3.3100,-8.5500,0.8000,0.8000
-3.3100,-8.5000,0.8000,0.8000
-3.3100,-8.4500,0.8000,0.8000
-3.3100,-8.4000,0.8016,0.8016
-3.2600,-8.3500,0.8559,0.8559
-3.2100,-8.3500,0.9055,0.9055
-3.2100,-8.3000,0.9124,0.9124
-3.2100,-8.2500,0.9014,0.9014
-3.2100,-8.2000,0.8860,0.8860
-3.2100,-8.1500,0.8732,0.8732
-3.2100,-8.1000,0.8631,0.8631
-3.2100,-8.0500,0.8559,0.8559
-3.2100,-8.0000,0.8515,0.8515
-3.2600,-7.9500,0.8246,0.8246
-3.2600,-7.9000,0.8078,0.8078
-3.2600,-7.8500,0.7906,0.7906
-3.2600,-7.8000,0.7762,0.7762
-3.2600,-7.7500,0.7649,0.7649
-3.2600,-7.7000,0.7566,0.7566
-3.2600,-7.6500,0.7517,0.7517
-3.2600,-7.6000,0.7500,0.7500
-3.2600,-7.5500,0.7500,0.7500
-3.2600,-7.5000,0.7500,0.7500
-3.2600,-7.4500,0.7500,0.7500
-3.2600,-7.4000,0.7500,0.7500
-3.2600,-7.3500,0.7500,0.7500
-3.2600,-7.3000,0.7500,0.7500
-3.2600,-7.2500,0.7500,0.7500
-3.2600,-7.2000,0.7500,0.7500
-3.2600,-7.1500,0.7500,0.7500
-3.2600,-7.1000,0.7500,0.7500
-3.2600,-7.0500,0.7500,0.7500
-3.2600,-7.0000,0.7500,0.7500
-3.2600,-6.9500,0.7500,0.7500
-3.2600,-6.9000,0.7500,0.7500
-3.2600,-6.8500,0.7500,0.7500
-3.2600,-6.8000,0.7500,0.7500
-3.2600,-6.7500,0.7500,0.7500
-3.2600,-6.7000,0.7433,0.7433
-3.2600,-6.6500,0.7280,0.7280
-3.2600,-6.6000,0.7159,0.7159
-3.2600,-6.5500,0.7071,0.7071
-3.2600,-6.5000,0.7018,0.7018
-3.2100,-6.4500,0.7433,0.7433
-3.2100,-6.4000,0.7500,0.7500
-3.2100,-6.3500,0.7500,0.7500
-3.2100,-6.3000,0.7433,0.7433
-3.2100,-6.2500,0.7280,0.7280
-3.2100,-6.2000,0.7159,0.7159
-3.2100,-6.1500,0.7071,0.7071
-3.2100,-6.1000,0.7018,0.7018
-3.2100,-6.0500,0.7000,0.7000
-3.2100,-6.0000,0.7000,0.7000
-3.2100,-5.9500,0.7000,0.7000
-3.2100,-5.9000,0.7000,0.7000
-3.2100,-5.8500,0.7000,0.7000
-3.2100,-5.8000,0.7000,0.7000
-3.2100,-5.7500,0.7018,0.7018
-3.2100,-5.7000,0.7071,0.7071
-3.2100,-5.6500,0.7159,0.7159
-3.2100,-5.6000,0.7280,0.7280
-3.2100,-5.5500,0.7433,0.7433
-3.1600,-5.5000,0.7500,0.7500
-3.1600,-5.4500,0.7500,0.7500
-3.1600,-5.4000,0.7500,0.7500
-3.1600,-5.3500,0.7500,0.7500
-3.1600,-5.3000,0.7500,0.7500
-3.1600,-5.2500,0.7500,0.7500
-3.1600,-5.2000,0.7433,0.7433
-3.1600,-5.1500,0.7280,0.7280
-3.1600,-5.1000,0.7159,0.7159
-3.1600,-5.0500,0.7071,0.7071
-3.1600,-5.0000,0.7018,0.7018
-3.1100,-4.9500,0.7018,0.7018
-3.1100,-4.9000,0.7071,0.7071
-3.1100,-4.8500,0.7159,0.7159
-3.1100,-4.8000,0.7280,0.7280
-3.1100,-4.7500,0.7280,0.7280
-3.1100,-4.7000,0.7159,0.7159
-3.1100,-4.6500,0.7071,0.7071
-3.1100,-4.6000,0.7018,0.7018
-3.1100,-4.5500,0.7000,0.7000
-3.1100,-4.5000,0.7000,0.7000
-3.1100,-4.4500,0.7000,0.7000
-3.1100,-4.4000,0.7000,0.7000
-3.1100,-4.3500,0.7018,0.7018
-3.1100,-4.3000,0.7071,0.7071
-3.1100,-4.2500,0.7159,0.7159
-3.1100,-4.2000,0.7280,0.7280
-3.1100,-4.1500,0.7433,0.7433
-3.1100,-4.1000,0.7500,0.7500
-3.1100,-4.0500,0.7517,0.7517
-3.1100,-4.0000,0.7500,0.7500
-3.1100,-3.9500,0.7500,0.7500
-3.0600,-3.9000,0.7280,0.7280
-3.0600,-3.8500,0.7433,0.7433
-3.0600,-3.8000,0.7500,0.7500
-3.0600,-3.7500,0.7433,0.7433
-3.0600,-3.7000,0.7280,0.7280
-3.0600,-3.6500,0.7159,0.7159
-3.0600,-3.6000,0.7071,0.7071
-3.0600,-3.5500,0.7018,0.7018
-3.0600,-3.5000,0.7000,0.7000
-3.0600,-3.4500,0.7000,0.7000
-3.0600,-3.4000,0.7000,0.7000
-3.0100,-3.3500,0.7000,0.7000
-3.0100,-3.3000,0.7000,0.7000
-3.0100,-3.2500,0.7000,0.7000
-3.0100,-3.2000,0.7000,0.7000
-3.0100,-3.1500,0.7000,0.7000
-3.0100,-3.1000,0.6964,0.6964
-3.0100,-3.0500,0.6801,0.6801
