lap_index(iter),lap_time_s,mean_speed_mps
2,15.450,1.652
3,12.750,2.002
4,11.900,2.145
5,11.100,2.299
6,10.500,2.431
7,10.000,2.552
8,9.600,2.658
9,9.150,2.789
10,8.900,2.868
11,8.650,2.950
12,8.400,3.038
13,8.150,3.131
14,8.050,3.170
15,7.850,3.251
16,7.650,3.336
17,7.550,3.380
18,7.450,3.426
19,7.300,3.496
20,7.150,3.569
21,7.050,3.620
22,6.950,3.672
23,6.900,3.699
24,6.750,3.781
25,6.700,3.809
26,6.650,3.838
27,6.550,3.896
28,6.450,3.957
29,6.400,3.988
30,6.350,4.019
31,6.300,4.051
32,6.250,4.083
33,6.150,4.150
34,6.100,4.184
35,6.050,4.218
36,6.000,4.254
37,5.950,4.289
38,5.950,4.289
39,5.850,4.363
40,5.850,4.363
41,5.800,4.400
