lap_index(iter),lap_time_s,mean_speed_mps
2,16.700,1.528
3,14.250,1.791
4,13.600,1.877
5,13.150,1.941
6,12.650,2.017
7,12.200,2.092
8,11.900,2.145
9,11.550,2.210
10,11.300,2.259
11,11.000,2.320
12,10.800,2.363
13,10.550,2.419
14,10.350,2.466
15,10.150,2.514
16,10.000,2.552
17,9.800,2.604
18,9.650,2.645
19,9.500,2.686
20,9.400,2.715
21,9.200,2.774
22,9.100,2.805
23,9.000,2.836
24,8.900,2.868
25,8.750,2.917
26,8.650,2.950
27,8.600,2.968
28,8.450,3.020
29,8.400,3.038
30,8.300,3.075
31,8.200,3.112
32,8.100,3.151
33,8.100,3.151
34,7.950,3.210
35,7.900,3.231
36,7.850,3.251
37,7.800,3.272
38,7.700,3.314
39,7.650,3.336
40,7.600,3.358
41,7.550,3.380
