lap_index(iter),lap_time_s,mean_speed_mps
2,16.750,1.524
3,14.600,1.748
4,14.200,1.797
5,13.850,1.843
6,13.250,1.926
7,12.750,2.002
8,12.400,2.058
9,12.050,2.118
10,11.750,2.172
11,11.450,2.229
12,11.200,2.279
13,10.900,2.341
14,10.750,2.374
15,10.450,2.442
16,10.250,2.490
17,10.100,2.527
18,9.900,2.578
19,9.750,2.618
20,9.650,2.645
21,9.550,2.672
22,9.450,2.701
23,9.300,2.744
24,9.200,2.774
25,9.150,2.789
26,9.000,2.836
27,8.950,2.852
28,8.850,2.884
29,8.800,2.900
30,8.750,2.917
31,8.650,2.950
32,8.600,2.968
33,8.550,2.985
34,8.450,3.020
35,8.400,3.038
36,8.400,3.038
37,8.300,3.075
38,8.200,3.112
39,8.200,3.112
40,8.150,3.131
41,8.100,3.151
