map,mu,known_laps,known_crash,known_best_s,res_laps,res_crash,res_best_s
barc_oval,0.1,100,False,12.25,0,True,
barc_oval,0.2,100,False,8.95,2,True,14.15
barc_oval,0.3,100,False,7.55,8,True,10.05
barc_oval,0.4,100,False,6.75,11,True,8.2
barc_oval,0.5,100,False,6.2,16,True,7.8
barc_oval,0.6,100,False,5.8,21,True,6.5
barc_oval,0.7,100,False,5.6,20,True,6.95
barc_oval,0.8,100,False,5.6,31,True,6.45
barc_oval,0.9,100,False,5.5,36,True,5.7
barc_oval,1.0,100,False,5.4,36,True,6.0
barc_oval_orginal,0.1,14,True,11.85,0,True,
barc_oval_orginal,0.2,100,False,8.05,0,True,
barc_oval_orginal,0.3,100,False,6.95,0,True,
barc_oval_orginal,0.4,100,False,6.25,18,True,6.15
barc_oval_orginal,0.5,100,False,5.8,10,True,7.0
barc_oval_orginal,0.6,100,False,5.45,40,True,5.35
barc_oval_orginal,0.7,100,False,5.15,55,True,4.85
barc_oval_orginal,0.8,100,False,4.95,48,True,4.8
barc_oval_orginal,0.9,100,False,4.75,52,True,4.8
barc_oval_orginal,1.0,100,False,4.65,83,True,4.5
levinelobby_track,0.1,0,True,,1,True,39.4
levinelobby_track,0.2,100,False,12.25,8,True,18.6
levinelobby_track,0.3,100,False,10.65,12,True,16.05
levinelobby_track,0.4,100,False,10.15,14,True,15.55
levinelobby_track,0.5,100,False,9.55,19,True,13.45
levinelobby_track,0.6,100,False,9.2,30,True,10.1
levinelobby_track,0.7,100,False,8.95,23,True,12.35
levinelobby_track,0.8,76,True,8.75,40,True,9.25
levinelobby_track,0.9,100,False,8.55,43,True,9.1
levinelobby_track,1.0,100,False,8.35,47,True,8.65
